nohup: ignoring input
 * Serving Flask app "app" (lazy loading)
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://0.0.0.0:5556/ (Press CTRL+C to quit)
172.17.0.1 - - [29/Dec/2018 06:57:59] "GET /order/11/800 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 06:58:01] "GET /categories HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 06:58:01] "GET /notes?pageNum=1&pageSize=15&categoryId=0 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 06:58:02] "GET /order/11/800 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 06:58:03] "GET /notes?pageNum=1&pageSize=15&categoryId=7 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 06:58:03] "GET /notes?pageNum=1&pageSize=15&categoryId=1 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 06:58:04] "GET /notes?pageNum=1&pageSize=15&categoryId=11 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 06:58:05] "GET /notes?pageNum=1&pageSize=15&categoryId=7 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 06:58:06] "GET /notes?pageNum=1&pageSize=15&categoryId=0 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 06:58:18] "POST /note/6417 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 06:58:23] "GET /classify/6417/11 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:15:18] "GET /categories HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:15:18] "GET /notes?pageNum=1&pageSize=15&categoryId=all HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:27:56] "GET /notes?pageNum=1&pageSize=15&categoryId=0 HTTP/1.1" 200 -
172.17.0.1 - - [29/Dec/2018 07:27:59] "GET /notes?pageNum=1&pageSize=15&categoryId=all HTTP/1.1" 200 -
